original_firstorder_10Percentile_P,original_firstorder_10Percentile_A,original_firstorder_10Percentile_V,original_firstorder_90Percentile_P,original_firstorder_90Percentile_A,original_firstorder_90Percentile_V,original_firstorder_Energy_P,original_firstorder_Energy_A,original_firstorder_Energy_V,original_firstorder_Entropy_P,original_firstorder_Entropy_A,original_firstorder_Entropy_V,original_firstorder_InterquartileRange_P,original_firstorder_InterquartileRange_A,original_firstorder_InterquartileRange_V,original_firstorder_Kurtosis_P,original_firstorder_Kurtosis_A,original_firstorder_Kurtosis_V,original_firstorder_Maximum_P,original_firstorder_Maximum_A,original_firstorder_Maximum_V,original_firstorder_MeanAbsoluteDeviation_P,original_firstorder_MeanAbsoluteDeviation_A,original_firstorder_MeanAbsoluteDeviation_V,original_firstorder_Mean_P,original_firstorder_Mean_A,original_firstorder_Mean_V,original_firstorder_Median_P,original_firstorder_Median_A,original_firstorder_Median_V,original_firstorder_Minimum_P,original_firstorder_Minimum_A,original_firstorder_Minimum_V,original_firstorder_Range_P,original_firstorder_Range_A,original_firstorder_Range_V,original_firstorder_RobustMeanAbsoluteDeviation_P,original_firstorder_RobustMeanAbsoluteDeviation_A,original_firstorder_RobustMeanAbsoluteDeviation_V,original_firstorder_RootMeanSquared_P,original_firstorder_RootMeanSquared_A,original_firstorder_RootMeanSquared_V,original_firstorder_Skewness_P,original_firstorder_Skewness_A,original_firstorder_Skewness_V,original_firstorder_TotalEnergy_P,original_firstorder_TotalEnergy_A,original_firstorder_TotalEnergy_V,original_firstorder_Uniformity_P,original_firstorder_Uniformity_A,original_firstorder_Uniformity_V,original_firstorder_Variance_P,original_firstorder_Variance_A,original_firstorder_Variance_V
76.54802538,75.95862082,74.84419423,131.248753,131.5087447,133.8288358,13123474836,13107570337,13127206526,3.31527623,3.317762724,3.460822712,27.35036383,27.77506194,28.64968305,19.56976691,23.11607367,33.01815339,532.3874225,605.5364685,661.320059,18.81421657,18.73646305,20.86603056,102.9558556,102.73452,102.6387301,102.0750316,101.882012,100.1233263,-69.32058169,-66.62003047,-68.40422103,601.7080042,672.1564989,729.7242801,11.61892993,11.80783232,12.28615591,403.9436513,403.698805,404.0010784,1.310563188,1.278343085,2.977257483,13123474836,13107570337,13127206526,0.133370689,0.132453147,0.122086733,797.0518409,777.6315161,1098.924338
58.19552639,59.01520309,40.64601087,139.8523548,153.1385305,190.0082746,30200725351,31975848459,31990853990,3.695728255,3.957243927,4.437658035,42.06563885,50.50520009,58.53386013,6.948732228,7.152381258,6.017586713,223.9836325,467.6481857,516.9905278,26.10179769,30.65861993,46.20167044,95.68668726,106.6556761,103.5724056,92.83781721,107.2247123,91.10623512,-90.27143426,-90.20470628,-92.56898114,314.2550667,557.852892,609.5595089,18.13657224,21.19499507,27.07143099,397.182473,408.6885092,408.784392,-0.563853599,-0.050211999,1.332541685,30200725351,31975848459,31990853990,0.090792195,0.076268176,0.061254025,1185.962381,1657.458653,4233.99265
-16.4315451,-26.65169336,-25.92452971,50.23097164,61.80204359,62.98763898,3741214372,3831033817,3838428536,3.164165248,3.508930506,3.557710056,42.42160157,63.41966045,61.43022564,2.034515355,1.787524137,1.874164042,88.61242068,125.221704,121.1846948,21.73501266,29.26458009,29.14458122,13.25985911,16.24470767,16.53838113,9.829446341,16.7407059,16.1066773,-30.57207896,-46.67895456,-46.94013322,119.1844996,171.9006586,168.1248281,17.86056247,24.65634753,24.29791955,314.2646842,318.0147584,318.3215289,0.414162817,0.116070677,0.181598667,3741214372,3831033817,3838428536,0.127664076,0.09960501,0.095993272,630.55238,1122.671439,1132.049035
10.46835632,15.31425084,11.70297561,114.0085163,121.8059979,117.7148291,7804833077,8342883737,8068214774,3.955879495,3.983176229,4.023155577,41.90911239,42.59669881,44.1716056,3.350820032,3.490103223,3.480600811,202.7572249,230.4275798,223.7266825,30.70785089,30.41588442,31.00510463,58.08039417,70.3615836,64.11128952,54.84271062,70.68995929,62.50032205,-61.02365893,-61.35980702,-58.97159336,263.7808839,291.7873868,282.6982759,19.70159901,19.33391621,20.27661855,360.3696324,372.5842333,366.3996941,0.208295394,-0.293651854,0.081085787,7804833077,8342883737,8068214774,0.085324024,0.080851263,0.077407587,1644.70325,1651.308307,1671.704668
7.056779978,3.924753708,-9.488318262,149.4213657,148.4696569,127.2942149,16071464531,15946453841,14923195910,4.22566861,4.265185427,4.139219983,91.2023127,97.78037569,88.06546655,2.115452618,2.052090712,2.07770123,207.2569786,269.6322964,222.8546148,44.74645833,46.37742253,43.17214419,79.02301636,77.28070097,65.23308096,82.68796612,80.44852599,74.82968163,-90.81887268,-89.6043013,-90.05885149,298.0758513,359.2365977,312.9134663,36.74069921,37.5195592,34.90261119,382.6674352,381.1762547,368.743776,-0.078491306,-0.106451454,-0.304983736,16071464531,15946453841,14923195910,0.057662172,0.055926163,0.062180295,2775.919014,2954.609808,2576.76893
103.1207825,91.38145957,86.47820604,161.4006715,163.7509766,146.0910637,16104424243,15789626856,14963247412,3.189479277,3.604996808,3.342001927,31.56827321,34.28029753,31.79352408,3.158104344,9.580938437,6.680767676,246.3921763,403.7130593,311.0199698,17.95900186,24.12699876,19.45055215,132.3493022,127.3202695,116.50254,132.260727,121.8528351,114.2975396,66.69585185,22.82086451,18.91696738,179.6963244,380.8921947,292.1030025,12.98419149,15.2764634,13.01763889,432.9377614,428.6855051,417.3167286,0.349092166,1.801332955,1.12942648,16104424243,15789626856,14963247412,0.129993041,0.104716446,0.119679738,509.1861352,1168.649551,678.8861511
-1.303756676,-13.53520425,-11.60050801,42.05885934,19.80042847,20.7574081,3458046108,3121497033,3152104890,2.636718634,2.442938087,2.352040191,24.77863772,20.00137964,17.79685386,2.476237334,3.009075665,2.864632705,75.09704297,86.47169393,75.76586549,13.34207813,11.07716806,10.41830704,18.21855288,2.424855025,3.935290986,15.21533514,1.465830473,2.960554241,-19.88773497,-35.20336553,-31.01525768,94.98477793,121.6750595,106.7811232,10.59961598,8.365782414,7.848192796,318.6206671,302.7192341,304.1997712,0.498984822,0.456484202,0.41802221,3458046108,3121497033,3152104890,0.183801381,0.207551811,0.227387735,256.0820977,178.1417744,160.8397009
40.57139051,28.99113907,24.05904291,141.7421776,117.712589,107.8605263,5834170445,5312699815,5102538145,3.982084019,3.84798602,3.811591666,53.74698066,45.70498936,47.13833443,3.166757056,3.311782507,3.221185123,201.8123325,192.991395,178.568028,31.67104256,28.36763824,27.7631598,87.45850831,69.93830651,62.5966235,84.83360987,69.31907086,60.72219191,-51.11463532,-48.97619572,-46.64845873,252.9269678,241.9675907,225.2164867,22.48978208,19.62941467,19.37911103,389.5304247,371.7144693,364.2880776,-0.231244072,-0.244156001,-0.2285795,5834170445,5312699815,5102538145,0.075917879,0.083929903,0.083872207,1609.856098,1317.296056,1229.492144
93.19987521,97.17007529,85.17681386,158.5743575,160.885912,175.9686407,15586610103,15693541870,15702386392,3.427754076,3.375774841,3.909654467,32.68724114,33.24304527,50.93200045,3.845631695,3.626826133,3.218230675,248.4642706,235.6827639,304.4058593,20.48724379,19.88456862,29.25097348,128.4389635,129.9703083,129.2976759,128.6110531,130.4131206,129.4655099,6.03389883,8.521954582,-29.97379586,242.4303718,227.1608093,334.3796551,14.18165776,13.87307682,20.94916335,429.2610243,430.7309777,430.8523357,-0.154123352,-0.302674539,0.113515774,15586610103,15693541870,15702386392,0.114064982,0.118578842,0.078304442,705.0815638,654.709145,1337.240649
91.33089992,92.85342999,65.54650242,234.2181365,215.3913662,156.9333805,13209810705,12684055365,10424861389,4.480682315,4.311080548,3.946288755,92.02906763,73.05146197,57.81618817,3.061739672,4.023838258,4.426550085,345.6217447,323.7903098,259.5104885,48.46669211,41.05441096,31.90793544,160.679617,152.1130983,110.545191,156.7199743,151.7658993,112.1724606,-73.35269479,-74.45798291,-81.79152549,418.9744395,398.2482927,341.302014,37.01540512,30.64852668,23.31386558,464.3615544,455.0268496,412.5181902,-0.209581065,-0.492138974,-0.525784869,13209810705,12684055365,10424861389,0.052142158,0.059048068,0.077605958,3405.943691,2643.180156,1623.903365
